Date,Open,High,Low,Close,Volume From,Volume To
03.03.2025,94270,94416.46,85117.11,86220.61,59171.1,5321123743.48
04.03.2025,86220.61,88967.52,81500,87281.98,55609.11,4704901219.58
05.03.2025,87281.98,91000,86334.53,90606.01,38264.01,3400243670.31
06.03.2025,90606.01,92810.64,87836,89931.89,34342.45,3105145628.4
07.03.2025,89931.89,91283.02,84667.03,86801.75,57980.36,5097554826.62
08.03.2025,86801.75,86897.25,85218.47,86222.45,12989.23,1119358968.66
09.03.2025,86222.45,86500,80000,80734.37,26115.39,2173552660.44
10.03.2025,80734.37,84123.46,77459.91,78595.86,47633.38,3834924947.73
11.03.2025,78595.86,83617.4,76606,82932.99,48770.07,3927000827.12
12.03.2025,82932.99,84539.85,80607.65,83680.12,31933.99,2638600996.82
13.03.2025,83680.12,84336.33,79939.9,80489.26,26138.89,2146875920.1
13.03.2023,21997.11,24500,21813.88,24113.48,687889.31,15824996078.4
14.03.2023,24113.48,26386.87,23976.42,24670.41,699360.93,17465307097.76
15.03.2023,24670.41,25196.97,23896.95,24285.66,581450.73,14291005743.97
16.03.2023,24285.66,25167.4,24123,24998.78,439421.33,10847330151.94
17.03.2023,24998.78,27756.84,24890,27395.13,624460.68,16476681071.25
18.03.2023,27395.13,27724.85,26578,26907.49,371238.97,10135945069.64
19.03.2023,26907.49,28390.1,26827.22,27972.87,372066.99,10264707987.62
20.03.2023,27972.87,28472,27124.47,27717.01,477378.23,13300424536.59
21.03.2023,27717.01,28438.55,27303.1,28105.47,420929.74,11760492716.41
22.03.2023,28105.47,28868.05,26601.8,27250.97,224113.41,6272099822.53
23.03.2023,27250.97,28750,27105,28295.41,128649.61,3591123573.19
24.03.2023,28295.41,28374.3,27000,27454.47,86242.07,2403443392.09
25.03.2023,27454.47,27787.33,27156.09,27462.95,50844.08,1397227639.24
26.03.2023,27462.95,28194.4,27417.76,27968.05,49671.7,1380973403.02
27.03.2023,27968.05,28023.86,26508.14,27124.91,88039.47,2407130888.02
28.03.2023,27124.91,27210,26631.78,26882.07,54059.09,1457320092.99
29.03.2023,26882.07,28650,26882.07,28348.6,89486.16,2519887866.14
30.03.2023,28348.6,29184.68,27686,28028.53,98865.43,2808471938.57
31.03.2023,28028.53,28656.69,27511.71,28465.36,78198.12,2203253311.68
01.04.2023,28465.36,28819.71,28220.27,28452.73,30238.45,860804237.46
02.04.2023,28452.73,28530,27856.43,28171.87,37365.66,1053600933.07
03.04.2023,28171.87,28500.99,27200.24,27800,79180.01,2214361048.74
04.04.2023,27800,28444.44,27662.79,28165.47,49722.56,1397141464.87
05.04.2023,28165.47,28775,27805.1,28170.01,60737.65,1721098539.05
06.04.2023,28170.01,28182.05,27711,28033.82,40118.95,1122713087.56
07.04.2023,28033.82,28100,27766.94,27906.33,24762.09,691323748.93
08.04.2023,27906.33,28154.99,27859.02,27938.38,19479.97,545324518.69
09.04.2023,27938.38,28530,27800,28323.76,32531.16,913915923.7
10.04.2023,28323.76,29770,28170,29637.34,67754.06,1955300943.17
11.04.2023,29637.34,30550,29590,30200.42,67990.08,2046078278.08
12.04.2023,30200.42,30486,29637.4,29888.07,62049.48,1863497606.14
13.04.2023,29888.07,30595,29854.59,30373.84,51934.12,1571091101.13
14.04.2023,30373.84,31000,29966,30466.93,75984.19,2323267494.39
15.04.2023,30466.93,30595.6,30202,30295.09,25429.81,772211097.61
16.04.2023,30295.09,30549.99,30120,30304.65,26431.99,801322926.15
17.04.2023,30304.65,30316.06,29240.65,29430.27,56441.81,1675287761.43
18.04.2023,29430.27,30485,29096.78,30380.01,62004.89,1861001491.98
19.04.2023,30380.01,30413.53,28520,28797.1,86575.49,2541283888.31
20.04.2023,28797.1,29088.3,28010,28243.65,76879.09,2198854031.41
21.04.2023,28243.65,28374.02,27125,27262.84,77684.77,2164667611.93
22.04.2023,27262.84,27882.72,27140.35,27816.85,36023.7,989379475.32
23.04.2023,27816.85,27816.85,27311.25,27590.6,34812.1,959389698.75
24.04.2023,27590.6,28000,26942.82,27510.93,53111.57,1458406515.65
25.04.2023,27510.93,28399.99,27192,28300.79,52325.15,1446329375.25
26.04.2023,28300.79,30036,27235,28415.29,129228.4,3719701461.95
27.04.2023,28415.29,29890,28378.86,29472.77,95430.82,2784859692.41
28.04.2023,29472.77,29599.54,28891,29311.7,54298.17,1590683771.68
29.04.2023,29311.7,29448.88,29031,29230.45,20466.83,599466910.05
30.04.2023,29230.45,29969.39,29079.59,29233.21,39752.54,1172155267.88
01.05.2023,29233.21,29337.34,27666.95,28068.26,64433.66,1828221138.98
02.05.2023,28068.26,28879.88,27872,28669.86,50824.52,1441733922.02
03.05.2023,28669.86,29266.66,28113.69,29026.16,64615.79,1845961218.87
04.05.2023,29026.16,29379.83,28663.64,28838.16,42575.48,1233816136.17
05.05.2023,28838.16,29677,28800,29505.61,58415.83,1709786814.92
06.05.2023,29505.61,29820,28300,28848.2,49249.28,1429517892.79
07.05.2023,28848.2,29138.29,28395.23,28430.1,30003.41,865838535.32
08.05.2023,28430.1,28631.01,27262,27668.79,68244.36,1903052694.69
09.05.2023,27668.79,27818,27353,27628.27,40113.31,1106923908.3
10.05.2023,27628.27,28331.42,26777,27598.75,71155.11,1971173412.45
11.05.2023,27598.75,27630.14,26702.05,26968.62,47635.31,1295799109.02
12.05.2023,26968.62,27091.12,25811.46,26795.01,67207.93,1777052127.73
13.05.2023,26795.01,27045.45,26692.03,26775.28,22814.9,612062852.09
14.05.2023,26775.28,27200,26560.53,26917.62,21594.8,580801698
15.05.2023,26917.62,27663.59,26726,27162.14,40430.08,1104633264.13
16.05.2023,27162.14,27296.89,26852.11,27033.84,33270.45,900273404.6
17.05.2023,27033.84,27500,26544.71,27405.61,42958.98,1159714527.64
18.05.2023,27405.61,27485.33,26361.2,26821.28,49198.65,1330745572.69
19.05.2023,26821.28,27183.6,26630,26880.26,28754.14,772864757.16
20.05.2023,26880.26,27150,26825.11,27102.43,14434.55,389225653.74
21.05.2023,27102.43,27277.55,26666.03,26747.78,21347.87,575213570.28
22.05.2023,26747.78,27099.89,26538.21,26849.27,26458.84,709594996.72
23.05.2023,26849.27,27495.83,26798.11,27219.61,38700.84,1054565781.6
24.05.2023,27219.61,27219.61,26080.5,26329.01,54393.07,1442636235.45
25.05.2023,26329.01,26631.98,25871.89,26473.79,37435.45,984117789.7
26.05.2023,26473.79,26932.16,26327.24,26705.92,35061.19,932817724.59
27.05.2023,26705.92,26895,26551,26854.27,15095.69,403337263.03
28.05.2023,26854.27,28261.32,26764.36,28065,43916.01,1205762341.98
29.05.2023,28065,28447.14,27524.6,27736.4,42385.42,1182678581.64
30.05.2023,27736.4,28038.59,27554,27694.4,32686.75,908653906.02
31.05.2023,27694.4,27835.51,26839.01,27210.35,46588.81,1265952178.79
01.06.2023,27210.35,27350,26605.05,26817.93,39217.81,1055132509.88
02.06.2023,26817.93,27300,26505,27242.59,36380.9,983857061.65
03.06.2023,27242.59,27333.29,26914.93,27069.22,16595.34,450588672.47
04.06.2023,27069.22,27455.02,26951,27115.21,19258.41,523747237.44
05.06.2023,27115.21,27129.33,25388,25728.2,65805.6,1722665798.1
06.06.2023,25728.2,27355.33,25351.02,27230.08,68392.6,1797636024.1
07.06.2023,27230.08,27391.77,26125.01,26339.34,59619.44,1589291467.56
08.06.2023,26339.34,26810,26210,26498.61,31075.51,823023638.25
09.06.2023,26498.61,26783.33,26269.91,26477.81,27934.71,741158215.06
10.06.2023,26477.81,26533.87,25358,25841.21,64944.6,1673795235.43
11.06.2023,25841.21,26206.88,25634.7,25925.55,30014.3,776111471.88
12.06.2023,25925.55,26106.48,25602.11,25905.19,29900.51,773303698.86
13.06.2023,25905.19,26433.21,25712.57,25934.25,41065.61,1068985236.51
14.06.2023,25934.25,26098,24820.56,25128.6,45077.32,1152808416.92
15.06.2023,25128.6,25759.01,24800,25598.49,48664.86,1224436974.86
16.06.2023,25598.49,26518,25175.56,26345,51596.92,1335158158.64
17.06.2023,26345,26839.99,26181,26516.99,27842.22,738491809.88
18.06.2023,26516.99,26700,26255.85,26339.97,21538.31,571013013.85
19.06.2023,26339.97,27068.09,26256.61,26844.35,35872.66,954193987.29
20.06.2023,26844.35,28402.74,26652,28307.99,69666.96,1912797983.54
21.06.2023,28307.99,30800,28257.99,29993.89,108926.4,3210301129.39
22.06.2023,29993.89,30500,29525.61,29884.92,59054.56,1775822103.76
